date,signale_par,objet,description,urgence,statut
10.01.2023,patrouille JM,lampadaire Avenue de la Gare,Ampoule grillée,,en attente
2025-07-22,M. Pereira,lampadaire près de Passage de l'Hôtel de Ville,Mât penché après la tempête,,fait
16.02.2025,un habitant,banc public Place de la Gare,Le dossier est fendu,normal,
2023-10-05,email citoyen,fontaine Rue de la Plaine,Gel a abîmé la tuyauterie,normal,en attente
2023-07-11,concierge école,le lampadaire sodium devant Avenue de la Gare,Ne s'allume plus,urgent,
2024-11-24,email citoyen,banc Rue Haldimand,Tags / graffitis,urgent,fait
2024-05-16,Mme Rochat,poubelle tri Rue Haldimand,Tags,normal,fait
06.05.2023,un passant,banc près de Avenue de la Gare,Lattes cassées,,fait
05.10.2023,Mme Weber,fontaine publique près de Rue du Lac,Fuit au sol,urgent,en attente
2025-11-11,email citoyen,banc Place de la Gare,Tags / graffitis,,en attente
2025-11-19,patrouille JM,le poubelle tri devant Rue du Casino,Déborde régulièrement,urgent,
2025-02-15,M. Keller,banc public Place de la Gare,Le dossier est fendu,normal,
26.03.2023,un passant,Lampadaire Avenue de la Gare,Mât penché après la tempête,,
2025-06-08,,Lampadaire LED Plage d'Yverdon,Ampoule grillée,urgent,fait
2025-11-03,Mme Rochat,le banc public devant Passage de l'Hôtel de Ville,Tags / graffitis,,
17.08.2022,,le banc public devant place de la gare,Bois pourri côté gauche,urgent,fait
2025-11-20,email citoyen,panneau Rue de la Plaine,Penché,urgent,fait
20.11.2023,patrouille JM,panneau affichage Rue de la Plaine,Vitrine cassée,,en cours
2024-06-20,patrouille JM,banc place de la gare,Vis qui dépassent,,
2025-10-14,M. Keller,Banc Parc des Rives,Un pied est tordu,normal,
2025-02-16,Mme Rochat,lampadaire Avenue de la Gare,Mât penché après la tempête,,fait
05.11.2023,Mme Weber,Poubelle près de Parc des Rives,Tags,,
2024-01-24,Mme Rochat,le Poubelle devant Plage d'Yverdon,Tags,,en attente
2024-09-17,patrouille JM,lampadaire LED Route de Lausanne,Clignote depuis 1 semaine,,fait
2024-12-10,Mme Rochat,lampadaire sodium Avenue de la Gare,Éclaire mal,,en cours
05.03.2023,Mme Dupont,le panneau affichage devant Rue de la Plaine,Penché,,en attente
2023-08-21,concierge école,le Banc devant Avenue de la Garre,Lattes cassées,,en attente
2024-02-27,un passant,lampadaire sodium près de Avenue de la Gare,Ne s'allume plus,urgent,
2023-05-13,un passant,lampadaire Avenue de la Gare,Clignote depuis 1 semaine,,en cours
2024-01-09,habitant du quartier,Lampadaire LED près de Avenue des Bains,Ampoule grillée,urgent,fait
2024-05-25,,le lampadaire sodium devant Passage de l'Hôtel de Ville,Ne s'allume plus,urgent,en cours
2024-11-25,Mme Dupont,banc public Y-Parc,Vis qui dépassent,normal,
2023-11-07,concierge école,banc Avenue de la Gare,Vis qui dépassent,,en attente
2024-02-19,M. Pereira,Lampadaire LED Plage d'Yverdon,Mât penché après la tempête,urgent,en attente
05.06.2022,Mme Rochat,borne recharge EV près de Passage de l'Hôtel de Ville,Câble manquant,,en attente
2025-01-03,,lampadaire led près de Avenue des Bains,Ne s'allume plus,urgent,en attente
04.03.2022,concierge école,Lampadaire LED Plage d'Yverdon,Clignote depuis 1 semaine,urgent,en attente
25.11.2023,M. Keller,lampadaire Route de Lausanne,Clignote depuis 1 semaine,normal,fait
2025-09-02,patrouille JM,banc Rue du Lac,Le dossier est fendu,,fait
11.03.2024,,poubelle Parc des Rives,Déborde régulièrement,,
2024-08-14,M. Pereira,lampadaire Avenue des Bains,Ampoule grillée,,fait
2023-02-07,concierge école,banc Rue du Lac,Tags / graffitis,,
2025-12-19,patrouille JM,le lampadaire LED devant Chemin de Maillefer,Mât penché après la tempête,normal,en attente
01.12.2023,Mme Weber,Borne recharge Rue de la Maison Rouge,Écran cassé,,fait
2025-12-26,email citoyen,banc Avenue des Sports,Bois pourri côté gauche,,en attente
2025-03-24,Mme Dupont,Lampadaire près de Avenue de la Gare,Clignote depuis 1 semaine,,en attente
2023-10-10,Mme Dupont,Panneau place de la Garre,Vitrine cassée,,fait
02.04.2022,Mme Rochat,borne recharge EV près de Passage de l'Hôtel de Ville,Ne charge plus,,en attente
2025-08-28,M. Pereira,Lampadaire Place de la Gare,Vitre cassée,,fait
2024-03-21,patrouille JM,le lampadaire led devant Y-Parc,Vitre cassée,,fait
2025-11-18,patrouille JM,Banc près de Rue du Casino,Lattes cassées,normal,
28.11.2023,concierge école,le Banc devant Rue du Lac,Lattes cassées,,en attente
2023-04-05,concierge école,banc Passage de l'Hôtel de Ville,Lattes cassées,,
2025-04-06,,banc HEIG-VD,Un pied est tordu,,
2025-12-05,Mme Dupont,poubelle tri Y-Parc,Renversée,,fait
03.11.2022,,Poubelle près de Parc des Rives,Couvercle cassé,,fait
2025-09-22,Mme Dupont,fontaine Plage d'Yverdon,Mousse/algues,,en cours
2025-03-26,habitant du quartier,lampadaire près de Avenue de la Gare,Éclaire mal,,fait
2024-02-10,,banc Rue de la Plaine,Vis qui dépassent,,fait
2023-06-08,email citoyen,Fontaine près de Avenue de la Gare,Fuit au sol,urgent,en attente
2023-03-24,M. Pereira,banc Rue de la Plaine,Tags / graffitis,normal,fait
2025-01-25,M. Pereira,le borne recharge EV devant Avenue de la Gare,Écran cassé,,
2025-03-12,concierge école,poubelle Passage de l'Hôtel de Ville,Tags,urgent,
2023-03-03,habitant du quartier,banc place de la gare,Lattes cassées,,fait
2024-06-26,M. Pereira,Lampadaire près de Avenue de la Gare,Mât penché après la tempête,,en attente
2024-04-28,habitant du quartier,Lampadaire LED Plage d'Yverdon,Vitre cassée,,
2024-03-10,habitant du quartier,poubelle Parc des Rives,Tags,,fait
2025-09-19,un habitant,panneau affichage près de Rue de la Plaine,Vitrine cassée,,en cours
08.09.2023,un habitant,fontaine Rue du Casino,Vasque fissurée,,
2024-11-11,email citoyen,banc public place de la gare,Bois pourri côté gauche,,
2024-01-27,un habitant,lampadaire Rue du Lac,Ne s'allume plus,urgent,en attente
11.10.2022,Mme Dupont,poubelle tri Y-Parc,Couvercle cassé,,fait
21.12.2023,patrouille JM,le Poubelle devant Parc des Rives,Déborde régulièrement,,fait
04.11.2022,Mme Weber,poubelle HEIG-VD,Tags,,en attente
14.11.2023,Mme Rochat,poubelle près de Parc des Rives,Couvercle cassé,,fait
2025-06-27,un habitant,le Lampadaire LED devant Plage d'Yverdon,Ampoule grillée,normal,
2025-05-24,email citoyen,banc Rue de la Plaine,Tags / graffitis,,
2023-04-11,Mme Rochat,banc Route de Lausanne,Vis qui dépassent,,fait
2025-03-24,M. Keller,le corbeille devant Rue du Casino,Couvercle cassé,,en attente
2025-12-09,M. Keller,banc Avenue de la Gare,Tags / graffitis,,en attente
2024-01-03,un habitant,banc public près de Rue du Milieu,Bois pourri côté gauche,normal,en attente
2025-03-10,Mme Rochat,lampadaire Passage de l'Hôtel de Ville,Clignote depuis 1 semaine,,en attente
2025-04-24,M. Pereira,Banc Avenue de la Garre,Lattes cassées,urgent,en cours
2024-11-25,M. Keller,le banc devant Place de la Gare,Le dossier est fendu,urgent,fait
2025-03-09,M. Pereira,panneau info près de Passage de l'Hôtel de Ville,Penché,,
2024-12-19,,fontaine Rue de la Plaine,Ne coule plus,urgent,en attente
2024-12-12,habitant du quartier,borne recharge EV près de Avenue de la Garre,Écran cassé,,
2025-08-23,email citoyen,Poubelle près de Plage d'Yverdon,Déborde régulièrement,,en cours
2024-06-18,,Lampadaire près de Avenue de la Gare,Ne s'allume plus,urgent,fait
28.06.2025,Mme Weber,le Lampadaire LED devant Plage d'Yverdon,Ampoule grillée,normal,
10.07.2023,patrouille JM,le banc devant Avenue de la Gare,Un pied est tordu,,en attente
2024-06-09,un habitant,lampadaire LED près de Chemin de Maillefer,Ampoule grillée,,fait
